ID,A_R,LogRe,mue,logSigma,eLogSigma,velocity,Type
88,0.031,0.4263663628322101,20.41,1.748,0.031,6518,-4
89,0.03,0.5493228156182263,19.43,2.308,0.016,6856,-5
90,0.022,0.14571555579588583,19.65,1.987,0.021,6706,-4
91,0.027,0.08555884678442069,19.36,1.819,0.021,6476,-5
92,0.024,0.22390949079389244,18.46,2.298,0.021,7222,-5
93,0.023,1.4843679388931508,21.66,2.422,0.013,7213,-5
94,0.026,0.23656206881917013,18.57,2.252,0.024,8041,-5
95,0.023,-0.16207743196350632,17.7,2.229,0.015,6929,-5
96,0.021,0.1534183789596344,19.02,2.1,0.021,6686,-5
97,0.024,0.2790734343858868,18.86,2.273,0.013,6727,-4
98,0.029,0.24863464387742723,19.32,2.056,0.021,7575,-5
99,0.028,0.6762670709270615,19.91,2.297,0.011,6730,-4
0,0.025,0.5394319806869717,19.86,2.213,0.011,6400,-5
1,0.026,0.3483680508644799,19.59,2.03,0.014,7263,-5
2,0.025,1.1974329877432714,20.51,2.6,0.01,6519,-5
3,0.028,0.0955474002297805,18.07,2.266,0.021,7266,-5
4,0.03,0.2324176406125271,19.18,2.182,0.021,6779,-5
5,0.028,0.076785428940371,18.65,2.199,0.021,5735,-5
6,0.032,0.7651596969470373,19.52,2.326,0.029,8490,-2
7,0.024,0.38245875976293264,19.84,1.983,0.021,7820,-5
8,0.027,0.45441209152871276,19.32,2.218,0.021,7519,-4
9,0.028,0.474121607432851,19.99,2.102,0.024,7110,-2
10,0.03,0.3104863022091257,18.56,2.334,0.021,6938,-4
11,0.028,0.5742104232338984,19.11,2.294,0.016,8749,-3
12,0.026,0.5968774699593191,19.4,2.319,0.045,7667,-2
13,0.028,0.7394744909596418,20.59,2.381,0.016,5026,-4
14,0.245,0.9081825425097009,19.68,2.455,0.013,5116,-5
15,0.022,0.35393525572912843,20.1,2.109,0.017,5966,-5
16,0.022,0.4532374673628786,19.0,2.27,0.024,7328,-2
17,0.025,0.4785158662880586,20.04,2.154,0.024,7643,-5
18,0.025,0.4441670831843671,19.39,2.32,0.019,5507,-5
19,0.255,0.7015759403312969,19.25,2.439,0.016,4606,-5
